emisor,periodo,ebitda,deuda_cp,deuda_lp,gastos_financieros,caja,ingresos
ISA,2021Q1,283677737.0,165504599.0,4655385523.0,63440268.0,617764328.0,332401870.0
ISA,2021Q2,305591173.0,276305988.0,4522584004.0,73000144.0,1492654209.0,342791251.0
ISA,2021Q3,312224922.0,285445444.0,4506824011.0,93900828.0,1205650178.0,351127612.0
ISA,2021Q4,301268416.0,158138806.0,4620915045.0,93638995.0,545836519.0,359013297.0
ISA,2022Q1,-861407237.0,191195223.0,4549200753.0,-227678223.0,914678806.0,-995970929.0
ISA,2022Q2,362970235.0,63953970.0,4679703656.0,109731701.0,1081698895.0,401716884.0
ISA,2022Q3,408622622.0,92316127.0,4816794449.0,121647046.0,963084252.0,457854261.0
ISA,2022Q4,367131144.0,258214174.0,4732735216.0,140471537.0,489037532.0,426800001.0
ISA,2023Q1,-1110636327.0,407957952.0,4564526239.0,-347289781.0,523140546.0,-1235669716.0
ISA,2023Q2,351982384.0,655259695.0,4614826538.0,128653010.0,337820439.0,412415140.0
ISA,2023Q3,343545920.0,686196007.0,4571878169.0,124069360.0,652850409.0,399658865.0
ISA,2023Q4,369036773.0,469769251.0,5647912199.0,139314061.0,635042389.0,453161537.0
ISA,2024Q1,-1039422989.0,395102280.0,5658561297.0,-378155228.0,502116140.0,-1230615435.0
ISA,2024Q2,314047702.0,159961042.0,6063268091.0,122936643.0,1075229717.0,466038212.0
ISA,2024Q3,308115018.0,202481369.0,6070005066.0,118022210.0,826939819.0,437383251.0
ISA,2024Q4,527664918.0,289246629.0,6001232522.0,112862707.0,447123415.0,446843401.0
ISA,2025Q1,-1184269784.0,334989777.0,5933857052.0,-383218244.0,862078046.0,-1380667183.0
ISA,2025Q2,347783667.0,198324421.0,6297032355.0,115518981.0,491891095.0,423502039.0
ISA,2025Q3,360016422.0,251455581.0,6242738994.0,124748661.0,608100195.0,425963142.0
ISA,2025Q4,307362555.0,53599546.0,6396421610.0,128547445.0,139843325.0,403705996.0
ISA,2026Q1,-1063936053.0,124989298.0,6371825748.0,-335460118.0,389219586.0,-1286008308.0
